date, pm25, pm10, o3, no2, so2, co
2020/1/24, 48, 39, , , , 
2020/1/25, 55, 61, , , , 
2020/1/26, 69, 36, , , , 
2020/1/27, 136, 49, , , , 
2020/1/28, 76, 37, , , , 
2020/1/29, 76, 40, , , , 
2020/1/30, 63, 50, , , , 
2020/1/31, 65, 38, , , , 
2020/2/1, 74, 25, , , , 
2020/2/2, 57, 29, , , , 
2020/2/3, 49, 22, , , , 
2020/2/4, 29, 18, , , , 
2020/2/5, 21, 20, , , , 
2020/2/6, 31, 25, , , , 
2020/2/7, 45, 38, , , , 
2020/2/8, 53, 46, , , , 
2020/2/9, 64, 39, , , , 
2020/2/10, 65, 34, , , , 
2020/2/11, 56, 35, , , , 
2020/2/12, 57, 23, , , , 
2020/2/13, 45, 30, , , , 
2020/2/14, 43, 32, , , , 
2020/2/15, 62, 27, , , , 
2020/2/16, 59, 15, , , , 
2020/2/17, 40, 16, , , , 
2020/2/18, 26, 29, , , , 
2020/2/19, 30, 38, , , , 
2020/2/20, 49, 52, , , , 
2020/2/21, 63, 56, , , , 
2020/2/22, 76, 38, , , , 
2020/2/23, 61, 38, , , , 
2020/2/24, 67, 28, , , , 
2020/2/25, 65, 35, , , , 
2020/2/26, 51, 43, , , , 
2020/2/27, 74, 50, , , , 
2020/2/28, 60, 43, , , , 
2020/2/29, 73, 43, , , , 
2020/3/1, 57, 21, , , , 
2020/3/2, 55, 31, , , , 
2020/3/3, 46, 47, , , , 
2020/3/4, 63, 35, , , , 
2020/3/5, 53, 40, , , , 
2020/3/6, 48, 37, , , , 
2020/3/7, 68, 33, , , , 
2020/3/8, 45, 41, , , , 
2020/3/9, 59, 37, , , , 
2020/3/10, 59, 38, , , , 
2020/3/11, 55, 30, , , , 
2020/3/12, 42, 20, , , , 
2020/3/13, 35, 16, , , , 
2020/3/14, 19, 27, , , , 
2020/3/15, 37, , , , , 
2020/3/18, 43, 32, , , , 
2020/3/19, 42, 40, , , , 
2020/3/20, 56, 43, , , , 
2020/3/21, 72, 26, , , , 
2020/3/22, 53, 19, , , , 
2020/3/23, 31, 26, , , , 
2020/3/24, 18, 19, , , , 
2020/3/25, 20, 27, , , , 
2020/3/26, 62, 29, , , , 
2020/3/27, 60, 28, , , , 
2020/3/28, 63, 35, , , , 
2020/3/29, 56, 37, , , , 
2020/3/30, 86, 35, , , , 
2020/3/31, 70, 37, , , , 
2020/4/1, 66, 38, , , , 
2019/10/2, 32, 15, , , , 
2019/10/3, 29, 26, , , , 
2019/10/4, 30, 31, , , , 
2019/10/5, 34, 27, , , , 
2019/10/6, 35, 15, , , , 
2019/10/7, 33, 26, , , , 
2019/10/8, 33, 31, , , , 
2019/10/9, 37, 43, , , , 
2019/10/10, 45, 40, , , , 
2019/10/11, 50, 37, , , , 
2019/10/12, 48, 19, , , , 
2019/10/13, 50, 33, , , , 
2019/10/14, 49, 31, , , , 
2019/10/15, 83, 29, , , , 
2019/10/16, 91, 31, , , , 
2019/10/17, 82, 25, , , , 
2019/10/18, 68, 38, , , , 
2019/10/19, 67, 33, , , , 
2019/10/20, 65, 16, , , , 
2019/10/21, 62, 23, , , , 
2019/10/22, 54, 29, , , , 
2019/10/23, 64, 34, , , , 
2019/10/24, 71, 18, , , , 
2019/10/25, 63, 22, , , , 
2019/10/26, 57, 9, , , , 
2019/10/27, 52, 19, , , , 
2019/10/28, 50, 31, , , , 
2019/10/29, 52, 22, , , , 
2019/10/30, 55, 17, , , , 
2019/10/31, 51, 33, , , , 
2019/11/1, 55, 20, , , , 
2019/11/2, 57, 25, , , , 
2019/11/3, 59, 16, , , , 
2019/11/4, 59, 19, , , , 
2019/11/5, 50, 27, , , , 
2019/11/6, 60, 27, , , , 
2019/11/7, 62, 33, , , , 
2019/11/8, 51, 45, , , , 
2019/11/9, 57, 42, , , , 
2019/11/10, 62, 30, , , , 
2019/11/11, 60, 33, , , , 
2019/11/12, 53, 31, , , , 
2019/11/13, 74, 23, , , , 
2019/11/14, 182, 29, , , , 
2019/11/15, 106, 13, , , , 
2019/11/17, 44, 20, , , , 
2019/11/18, 55, 31, , , , 
2019/11/19, 60, 36, , , , 
2019/11/20, 60, 26, , , , 
2019/11/21, 53, 35, , , , 
2019/11/22, 53, 51, , , , 
2019/11/23, 62, 25, , , , 
2019/11/24, 55, 16, , , , 
2019/11/25, 44, 24, , , , 
2019/11/26, 46, 24, , , , 
2019/11/27, 69, 21, , , , 
