date, pm25, pm10, o3, no2, so2, co
2015/11/17, 49, 38, , 6, 24, 15
2015/11/18, 40, 55, , 5, 4, 19
2015/11/19, 57, 36, , 6, 14, 15
2015/11/20, 47, 62, , 5, 26, 14
2015/11/21, 72, 56, , 4, 13, 15
2015/11/22, 68, 36, , 2, 5, 14
2015/11/23, 53, 31, , 4, 4, 10
2015/11/24, 39, 24, , 5, 9, 10
2015/11/25, 29, 21, , 7, 5, 11
2015/11/26, 29, 31, , 6, 4, 12
2015/11/27, 42, 36, , 4, 23, 28
2015/11/28, 43, 58, , 4, 12, 25
2015/11/29, 57, 60, , 3, 7, 17
2015/11/30, 63, 56, , 3, 13, 25
2015/12/1, 68, 60, , 3, 15, 14
2015/12/2, 71, 46, , 3, 8, 8
2015/12/3, 61, 28, , 6, 8, 9
2015/12/4, 35, 47, , 5, 21, 14
2015/12/5, 59, 59, , 5, 13, 14
2015/12/6, 68, 53, , 3, 29, 17
2015/12/7, 67, 61, , 3, 17, 30
2015/12/8, 68, 78, , 3, 11, 23
2015/12/9, 65, 68, , 4, 18, 21
2015/12/10, 69, 63, , 3, 10, 14
2015/12/11, 67, 57, , 4, 17, 13
2015/12/12, 62, 50, , 4, 12, 18
2015/12/13, 61, 26, , 3, 4, 8
2015/12/14, 31, 17, , 3, 7, 9
2015/12/15, 27, 41, , 6, 15, 15
2015/12/16, 48, , , 3, 31, 15
2015/12/18, 67, 61, , 2, 13, 34
2015/12/19, 56, 57, , 3, 10, 22
2015/12/20, 59, 41, , 1, 8, 23
2015/12/21, 54, 33, , 3, 2, 13
2015/12/22, 38, 22, , 3, 5, 12
2015/12/23, 32, 28, , 5, 13, 19
2015/12/24, 35, 48, , 5, 12, 19
2015/12/25, 57, 48, , 2, 11, 15
2015/12/26, 60, 40, , 2, 17, 20
2015/12/27, 56, 46, , 2, 13, 18
2015/12/28, 58, 55, , 3, 8, 19
2015/12/29, 63, 66, , 4, 9, 15
2015/12/30, 65, 58, , 7, 13, 12
