date, pm25, pm10, o3, no2, so2, co
2017/9/5, 52, 56, , , , 
2017/9/6, 83, , , , , 
2017/9/11, 46, 34, , , , 
2017/9/12, 66, 63, , , , 
2017/9/13, 126, 37, , , , 
2017/9/14, 66, 34, , , , 
2017/9/15, 53, 52, , , , 
2017/9/16, 82, 74, , , , 
2017/9/17, 120, 69, , , , 
2017/9/18, 125, 46, , , , 
2017/9/19, 88, 30, , , , 
2017/9/20, 63, 24, , , , 
2017/9/21, 33, 44, , , , 
2017/9/22, 61, 56, , , , 
2017/9/23, 81, 60, , , , 
2017/9/24, 86, 37, , , , 
2017/9/25, 60, 44, , , , 
2017/9/26, 62, 55, , , , 
2017/9/27, 73, 62, , , , 
2017/9/28, 88, 56, , , , 
2017/9/29, 80, 56, , , , 
2017/9/30, 78, 44, , , , 
2017/10/1, 66, 18, , , , 
2017/6/8, 161, 60, , , , 
2017/6/9, 114, 57, , , , 
2017/6/10, 118, 86, , , , 
2017/6/11, 161, 73, , , , 
2017/6/12, 156, 77, , , , 
2017/6/13, 158, 70, , , , 
2017/6/14, 146, 76, , , , 
2017/6/15, 156, 72, , , , 
2017/6/16, 154, 73, , , , 
2017/6/17, 142, 14, , , , 
2017/6/18, 30, 35, , , , 
2017/6/19, 77, 74, , , , 
2017/6/20, 149, 101, , , , 
2017/6/21, 158, 104, , , , 
2017/6/22, 158, 72, , , , 
2017/6/23, 117, 40, , , , 
2017/6/24, 75, 77, , , , 
2017/6/25, 139, 60, , , , 
2017/6/26, 105, 28, , , , 
2017/6/27, 55, 23, , , , 
2017/6/28, 59, 64, , , , 
2017/6/29, 110, 72, , , , 
2017/6/30, 134, 88, , , , 
2017/7/1, 154, 92, , , , 
2017/1/3, 48, 69, 31, 10, , 11
2017/1/4, 89, 63, 32, 12, , 10
2017/1/5, 102, 62, 40, 13, , 9
2017/1/6, 66, 61, 33, 13, , 9
2017/1/7, 71, 64, 33, 13, , 9
2017/1/8, 82, 54, 27, 6, , 8
2017/1/9, 56, 42, 22, 5, , 8
2017/1/10, 30, 45, 27, 8, , 9
2017/1/11, 35, 53, 36, 12, , 9
2017/1/12, 48, 63, 35, 22, , 9
2017/1/13, 55, , , , , 
2016/10/2, 58, 49, 39, 15, , 11
2016/10/3, 65, 57, 26, 16, , 9
2016/10/4, 61, 44, 27, 14, , 7
2016/10/5, 52, 57, 35, 20, , 22
2016/10/6, 58, 66, 27, 21, , 3
2016/10/7, 66, 53, 29, 12, , 3
2016/10/8, 54, 50, 35, 18, , 1
2016/10/9, 53, 55, 40, 15, , 6
2016/10/10, 63, 42, 31, 10, , 
2016/10/11, 50, 57, 26, 16, , 4
2016/10/12, 51, 53, 11, 15, , 2
2016/10/13, 46, 54, 24, 12, , 4
2016/10/14, 45, 53, 12, 19, , 2
2016/10/15, 41, 47, 10, 14, , 2
2016/10/16, 56, 16, 15, 6, , 
2016/10/17, 30, 23, 13, 10, , 1
2016/10/18, 27, 20, 18, 12, , 
2016/10/19, 27, 30, 28, 14, , 2
2016/10/20, 38, 43, 32, 21, , 5
2016/10/21, 66, 56, 41, 25, , 9
2016/10/22, 41, 42, 25, 9, , 
2016/10/23, 4, 35, 24, 7, , 1
2016/10/24, 4, 33, 22, 12, , 
2016/10/25, 3, 41, 27, 17, , 3
2016/10/26, 3, 50, 38, 24, , 3
2016/10/27, 50, 66, 34, 24, , 5
2016/10/28, 68, 52, 14, 11, , 1
2016/10/29, 64, 49, 25, 13, , 1
2016/10/30, 75, 35, 20, 7, , 1
2016/10/31, 65, 27, 14, 8, , 1
2016/11/1, 40, 20, 20, 5, , 
2016/11/2, 18, 34, 23, 13, , 1
2016/11/3, 20, 57, 23, 16, , 4
2016/11/4, 51, 57, 30, 14, , 3
2016/11/5, 55, 52, 28, 11, , 2
2016/11/6, 59, 38, 26, 8, , 2
2016/11/7, 54, 49, 32, 10, , 2
2016/11/8, 51, 49, 24, 9, , 1
2016/11/9, 50, 59, 32, 15, , 2
2016/11/10, 58, 58, 36, 17, , 2
2016/11/11, 59, 59, 29, 16, , 3
2016/11/12, 66, 64, 37, 16, , 2
2016/11/13, 88, 52, 26, 8, , 1
2016/11/14, 98, 43, 22, 12, , 2
2016/11/15, 46, 48, 28, 11, , 1
2016/11/16, 44, 50, 27, 14, , 2
2016/11/17, 48, 59, 33, 21, , 2
2016/11/18, 52, 88, 42, 24, , 6
2016/11/19, 89, 70, 30, 9, , 1
2016/11/20, 113, 43, 18, 5, , 1
2016/11/21, 58, 46, 23, 9, , 1
2016/11/22, 49, 44, 21, 10, , 1
2016/11/23, 46, 43, 13, 11, , 1
2016/11/24, 42, 51, 32, 14, , 2
2016/11/25, 51, 44, 17, 6, , 1
2016/11/26, 43, 33, 21, 8, , 1
2016/11/27, 40, 26, 18, 5, , 1
2016/11/28, 31, 49, 34, 16, , 4
2016/11/29, 44, 67, 39, 21, , 9
2016/11/30, 63, 66, 27, 11, , 7
2016/12/1, 84, 59, 28, 11, , 7
2016/12/2, 74, 60, 29, 13, , 8
2016/12/3, 70, 53, 25, 9, , 7
2016/12/4, 67, 33, 19, 3, , 6
2016/12/5, 50, 33, 28, 9, , 6
2016/12/6, 37, 49, 34, 15, , 7
2016/12/7, 48, 56, 28, 13, , 7
2016/12/8, 58, 49, 27, 7, , 6
2016/12/9, 57, 34, 8, 18, , 8
2016/12/10, 47, 34, 28, 14, , 9
2016/12/11, 52, 32, 27, 9, , 7
2016/12/12, 48, 39, 22, 10, , 7
2016/12/13, 44, 50, 37, 16, , 7
2016/12/14, 55, 65, 49, 20, , 8
2016/12/15, 62, 87, 43, 17, , 11
2016/12/16, 131, 66, 26, 10, , 9
2016/12/17, 124, 46, 24, 7, , 7
2016/12/18, 65, 41, 28, 7, , 8
2016/12/19, 54, 48, 34, 12, , 8
2016/12/20, 65, 67, 35, 13, , 9
2016/12/21, 76, 64, 29, 10, , 8
2016/12/22, 85, 61, 29, 13, , 9
2016/12/23, 95, 69, 32, 17, , 10
2016/12/24, 99, 71, 37, 12, , 11
2016/12/25, 103, 51, 17, 3, , 8
2016/12/26, 109, 24, 15, 8, , 8
2016/12/27, 21, 34, 33, 16, , 9
2016/12/28, 31, 49, 30, 16, , 9
2016/12/29, 50, 48, 18, 9, , 9
2016/12/30, 57, 46, 22, 8, , 9
2016/12/31, 62, 40, 19, 5, , 9
2017/1/1, 57, 42, 29, 8, , 10
2017/1/2, 62, 47, 30, 8, , 10
2016/7/2, 169, 69, 3, 26, , 7
2016/7/3, 158, 53, 8, 56, , 12
2016/7/4, 132, 63, 10, 37, , 18
2016/7/5, 138, 71, 13, 37, , 17
2016/7/6, 135, 87, 12, 46, , 23
2016/7/7, 147, 88, 9, 49, , 20
2016/7/8, 155, 96, 9, 39, , 32
2016/7/9, 162, 77, 10, 34, , 6
2016/7/10, 159, 100, 9, 39, , 27
2016/7/11, 179, 55, 16, 20, , 7
2016/7/12, 111, 83, 5, 35, , 6
2016/7/13, 93, 79, 15, 23, , 11
2016/7/14, 128, 30, 14, 23, , 
2016/7/15, 43, 60, 12, 31, , 8
2016/7/16, 82, 83, 8, 36, , 21
2016/7/17, 149, 95, 9, 31, , 34
2016/7/18, 164, 70, 70, 35, , 10
